TEST,ANSWER,TIME
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\0.txt,5,0.1576216220855713
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\1.txt,11,0.355438232421875
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\2.txt,8,0.1411290168762207
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\3.txt,16,0.34595632553100586
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\4.txt,2,0.12099027633666992
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\5.txt,8,0.18139243125915527
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\6.txt,-1,0.3927640914916992
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\7.txt,11,0.16894054412841797
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\8.txt,11,0.39945149421691895
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\9.txt,3,0.11754727363586426
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\10.txt,24,0.26154351234436035
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\11.txt,8,0.15437793731689453
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\12.txt,9,0.17962288856506348
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\13.txt,7,0.14315438270568848
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\14.txt,3,0.11145853996276855
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\15.txt,13,0.1875922679901123
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\16.txt,4,0.25837182998657227
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\17.txt,12,0.28882789611816406
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\18.txt,9,0.19574761390686035
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\19.txt,7,0.14796757698059082
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\20.txt,5,0.1603851318359375
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\21.txt,13,0.38946104049682617
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\22.txt,6,0.24148774147033691
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\23.txt,14,0.5702342987060547
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\24.txt,8,0.2059798240661621
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\25.txt,12,0.4387321472167969
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\26.txt,2,0.1376357078552246
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\27.txt,13,0.2850608825683594
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\28.txt,6,0.15178298950195312
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\29.txt,13,0.3346598148345947
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\30.txt,2,0.1904430389404297
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\31.txt,10,0.1911146640777588
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\32.txt,12,0.24299192428588867
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\33.txt,3,0.13231372833251953
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\34.txt,17,0.3639097213745117
