TEST,ANSWER,TIME
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\70.txt,2,0.17613792419433594
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\71.txt,12,0.17903780937194824
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\72.txt,17,0.23032760620117188
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\73.txt,5,0.14919805526733398
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\74.txt,5,0.17781805992126465
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\75.txt,11,0.2384018898010254
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\76.txt,11,0.3002026081085205
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\77.txt,10,0.2774693965911865
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\78.txt,10,0.29835033416748047
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\79.txt,13,0.1948223114013672
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\80.txt,3,0.26210737228393555
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\81.txt,1,0.11167311668395996
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\82.txt,5,0.11554789543151855
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\83.txt,13,0.2763538360595703
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\84.txt,14,0.18588995933532715
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\85.txt,8,0.20076417922973633
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\86.txt,2,0.1189885139465332
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\87.txt,7,0.329556941986084
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\88.txt,-1,0.22264337539672852
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\89.txt,10,0.3190877437591553
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\90.txt,8,0.27716779708862305
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\91.txt,2,0.11693120002746582
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\92.txt,13,0.2334296703338623
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\93.txt,3,0.1264781951904297
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\94.txt,8,0.20580720901489258
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\95.txt,10,0.23065567016601562
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\96.txt,5,0.20969653129577637
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\97.txt,12,0.14346528053283691
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\98.txt,3,0.23317313194274902
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\99.txt,1,0.11288261413574219
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\100.txt,2,0.11466455459594727
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\101.txt,5,0.15203595161437988
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\102.txt,9,0.1622169017791748
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\103.txt,19,0.29590320587158203
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\104.txt,9,0.29549288749694824
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\105.txt,12,0.29161906242370605
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\106.txt,4,0.2763185501098633
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\107.txt,-1,0.11935663223266602
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\108.txt,4,0.11620426177978516
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\109.txt,12,0.24330973625183105
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\110.txt,15,0.3104672431945801
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\111.txt,11,0.21044373512268066
