TEST,ANSWER,TIME
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\0.txt,5,0.12006235122680664
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\1.txt,11,0.16112208366394043
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\2.txt,8,0.12011384963989258
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\3.txt,20,0.22286128997802734
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\4.txt,2,0.11493420600891113
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\5.txt,8,0.13979744911193848
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\6.txt,-1,0.3488023281097412
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\7.txt,11,0.2672078609466553
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\8.txt,13,0.18614554405212402
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\9.txt,3,0.11621880531311035
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\10.txt,24,0.291431188583374
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\11.txt,8,0.13579535484313965
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\12.txt,9,0.13608932495117188
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\13.txt,7,0.11369895935058594
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\14.txt,3,0.11314010620117188
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\15.txt,13,0.20129060745239258
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\16.txt,4,0.11222052574157715
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\17.txt,12,0.17264270782470703
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\18.txt,9,0.14538908004760742
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\19.txt,7,0.1383347511291504
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\20.txt,5,0.12146902084350586
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\21.txt,13,0.18578314781188965
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\22.txt,6,0.11698579788208008
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\23.txt,16,0.16706156730651855
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\24.txt,8,0.11230921745300293
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\25.txt,12,0.19273996353149414
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\26.txt,2,0.14007019996643066
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\27.txt,13,0.18151211738586426
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\28.txt,6,0.13745975494384766
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\29.txt,13,0.2090907096862793
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\30.txt,2,0.11699485778808594
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\31.txt,10,0.16365933418273926
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\32.txt,12,0.17390108108520508
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\33.txt,3,0.1128380298614502
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\34.txt,17,0.23499727249145508
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\35.txt,3,0.13080954551696777
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\36.txt,2,0.12555527687072754
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\37.txt,15,0.23248028755187988
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\38.txt,13,0.17467880249023438
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\39.txt,12,0.1749715805053711
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\40.txt,12,0.17574381828308105
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\41.txt,16,0.2526257038116455
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\42.txt,8,0.1289360523223877
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\43.txt,7,0.13309550285339355
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\44.txt,14,0.18587040901184082
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\45.txt,9,0.15049314498901367
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\46.txt,10,0.12754058837890625
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\47.txt,4,0.12044954299926758
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\48.txt,8,0.13623642921447754
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\49.txt,-1,0.11182856559753418
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\50.txt,6,0.11602234840393066
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\51.txt,14,0.1918320655822754
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\52.txt,8,0.12766170501708984
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\53.txt,8,0.1341557502746582
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\54.txt,7,0.10892677307128906
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\55.txt,-1,0.11485886573791504
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\56.txt,11,0.17199945449829102
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\57.txt,7,0.13109517097473145
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\58.txt,11,0.1330716609954834
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\59.txt,18,0.17508435249328613
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\60.txt,2,0.11389970779418945
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\61.txt,16,0.2211296558380127
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\62.txt,8,0.1406705379486084
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\63.txt,4,0.11321163177490234
